speciescode,scientific_name,family,growth_form,leaf_type,myco_asso,phenology,ps_type,nitrogen_fixer,shade_tolerance,shade_tolerance_numeric,shade_reference,myco_reference,comments,try_species_ID
PIBA2,Pinus banksiana Lamb.,Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Intolerant,1.36,"TRY Refs 1, 38",,,
PICO3,Pinus coulteri D. Don,Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Intolerant,1.5,"TRY Refs 1, 38",TRY Ref 89,,42111
PIEL,Pinus elliottii Engelm.,Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Intermediate,2.65,"TRY Refs 1, 38",,,
PIJE,Pinus jeffreyi Balf.,Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Intolerant,1.74,"TRY Refs 1, 38",,,
PILA,Pinus lambertiana Douglas,Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Intermediate,2.66,"TRY Refs 1, 38",,,
PIPO,Pinus ponderosa Lawson & C. Lawson,Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Intolerant,1.64,"TRY Refs 1, 38",,,
PIPU5,Pinus pungens Lamb.,Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Intolerant,,https://www.fs.fed.us/database/feis/plants/tree/pinpun/all.html,,,
PIRE,Pinus resinosa Aiton,Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Intolerant,1.89,"TRY Refs 1, 38",,,
PISA2,Pinus sabiniana Douglas ex Douglas,Pinaceae,tree,needle,ECM?,evergreen,C3,FALSE,Intolerant,1,"TRY Refs 1, 38",,,
PIST,Pinus strobus L.,Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Intermediate,3.21,"TRY Refs 1, 38",,,
PISY,Pinus sylvestris L.,Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Intolerant,1.67,"TRY Refs 1, 38",,,
PIVI2,Pinus virginiana Mill.,Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Intolerant,1.99,"TRY Refs 1, 38",,,
PIRE10,Piper reticulatum L. [excluded],Piperaceae,tree,broad,NM,evergreen,C3,FALSE,,,,,,
PIME4,Pistacia mexicana Kunth,Anacardiaceae,shrub,broad,AM,deciduous,C3,FALSE,intolerant,,http://www.pfaf.org/user/Plant.aspx?LatinName=Pistacia+vera,,,
kew-156694,Pittoniotis trichantha Griseb.,Rubiaceae,tree,broad,AM,evergreen,C3,FALSE,,,,,,
POCA19,Populus ×canadensis Moench (pro sp.),Salicaceae,tree,broad,AM + ECM,deciduous,C3,FALSE,Intolerant,1.67,"TRY Refs 1, 38",,,
POAL7,Populus alba L.,Salicaceae,tree,broad,EITHER,deciduous,C3,FALSE,Intolerant,2.3,"TRY Refs 1, 38",,,
PODE3,Populus deltoides W. Bartram ex Marshall,Salicaceae,tree,broad,EITHER,deciduous,C3,FALSE,Intolerant,1.76,"TRY Refs 1, 38",,,
POGR4,Populus grandidentata Michx.,Salicaceae,tree,broad,EITHER,deciduous,C3,FALSE,Intolerant,1.21,"TRY Refs 1, 38",,,
POTR10,Populus tremula L.,Salicaceae,tree,broad,AM + ECM,deciduous,C3,FALSE,Intolerant,2.22,"TRY Refs 1, 38",,,
POTR5,Populus tremuloides Michx.,Salicaceae,tree,broad,EITHER,deciduous,C3,FALSE,Intolerant,1.21,"TRY Refs 1, 38",,,
kew-163583,Posoqueria latifolia (Rudge) Schult.,Rubiaceae,tree,broad,AM,evergreen,C3,FALSE,intolerant,,,,,
PONA6,Potentilla nana Willd. ex Schltdl.,Rosaceae,herb,broad,AM?,deciduous,,FALSE,tolerant,,http://www.pfaf.org/user/plant.aspx?latinname=Petasites+frigidus,,,
kew-164499,Pouteria torta (Mart.) Radlk.,Sapotaceae,tree,broad,,evergreen,C3,FALSE,,,,,,43933
kew-2414336,Protium tenuifolium (Engl.) Engl.,Burseraceae,tree,broad,AM,evergreen,C3,FALSE,,,,TRY Ref 8,,44263
PRAR3,Prunus armeniaca L.,Rosaceae,tree,broad,,deciduous,C3,FALSE,Intolerant,1.35,"TRY Refs 1, 38",,,44303
PRDU,Prunus dulcis (Mill.) D.A. Webb,Rosaceae,tree,broad,AM,deciduous,C3,FALSE,Intolerant,,http://www.pfaf.org/user/plant.aspx?LatinName=Prunus+dulcis,Roldan-Fajardo et al. 1982 Plant and Soil.,,
