RawSpecies,ScientificName,SpeciesCode,Database_ID,Project,old_scientific,SpeciesScientific
"Alnus glutinosa L.","Alnus glutinosa (L.) Gaertn.",ALGL2,USDA_Plants,ANGERS,NA,NA
"Castanea sativa","Castanea sativa Mill.",CASA27,USDA_Plants,ANGERS,NA,NA
"Cercis siliquastrum","Cercis siliquastrum L.",CESI9,USDA_Plants,ANGERS,NA,NA
"Corylus maxima 'Purpurea'","Corylus maxima Mill.",COMA18,USDA_Plants,ANGERS,NA,NA
"Cotinus coggygria","Cotinus coggygria Scop.",COCO10,USDA_Plants,ANGERS,NA,NA
"Eucalyptus gunnii","Eucalyptus gunnii Hook. f.",EUGU5,USDA_Plants,ANGERS,NA,NA
"Euonymus fortunei 'Emerald'n' Gold'","Euonymus fortunei (Turcz.) Hand.-Maz.",EUFO5,USDA_Plants,ANGERS,NA,NA
"Euonymus fortunei 'Ovatus Aureus'","Euonymus fortunei (Turcz.) Hand.-Maz.",EUFO5,USDA_Plants,ANGERS,NA,NA
"Euonymus fortunei 'Silver Queen'","Euonymus fortunei (Turcz.) Hand.-Maz.",EUFO5,USDA_Plants,ANGERS,NA,NA
"Euonymus fortunei Hand.-Mazz","Euonymus fortunei (Turcz.) Hand.-Maz.",EUFO5,USDA_Plants,ANGERS,NA,NA
Geranium,"Geranium L.",GERAN,USDA_Plants,ANGERS,NA,NA
"Hedera helix 'Dentata Variegata'","Hedera helix L.",HEHE,USDA_Plants,ANGERS,NA,NA
"Hydrangea macrophylla cv","Hydrangea macrophylla (Thunb.) Ser.",HYMA7,USDA_Plants,ANGERS,NA,NA
"Ilex aquifolium 'Golden Milkboy'","Ilex aquifolium L.",ILAQ80,USDA_Plants,ANGERS,NA,NA
"Juglans regia  L.","Juglans regia L.",JURE80,USDA_Plants,ANGERS,NA,NA
"Ligustrum vulgare","Ligustrum vulgare L.",LIVU,USDA_Plants,ANGERS,NA,NA
"Liquidambar styraciflua L.","Liquidambar styraciflua L.",LIST2,USDA_Plants,ANGERS,NA,NA
"Liriodendron tulipifera L.","Liriodendron tulipifera L.",LITU,USDA_Plants,ANGERS,NA,NA
"Osmanthus heterophyllus","Osmanthus heterophyllus (G. Don) P.S. Green",OSHE,USDA_Plants,ANGERS,NA,NA
"Parthenocissus tricuspidata","Parthenocissus tricuspidata (Siebold & Zucc.) Planch.",PATR6,USDA_Plants,ANGERS,NA,NA
"Populus alba L.","Populus alba L.",POAL7,USDA_Plants,ANGERS,NA,NA
"Prunus laurocerasus 'Otto Luyken'","Prunus laurocerasus L.",PRLA5,USDA_Plants,ANGERS,NA,NA
"Prunus laurocerasus L.","Prunus laurocerasus L.",PRLA5,USDA_Plants,ANGERS,NA,NA
"Prunus lusitanica L.","Prunus lusitanica L.",PRLU,USDA_Plants,ANGERS,NA,NA
"Quercus ilex L.","Quercus ilex L.",QUIL2,USDA_Plants,ANGERS,NA,NA
"Quercus palustris","Quercus palustris Münchh.",QUPA2,USDA_Plants,ANGERS,NA,NA
"Rhus typhina L.","Rhus typhina L.",RHTY,USDA_Plants,ANGERS,NA,NA
"Robinia pseudoacacia 'Frisia'","Robinia pseudoacacia L.",ROPS,USDA_Plants,ANGERS,NA,NA
"Robinia pseudoacacia L.","Robinia pseudoacacia L.",ROPS,USDA_Plants,ANGERS,NA,NA
"Salix atrocinerea","Salix atrocinerea Brot.",SAAT2,USDA_Plants,ANGERS,NA,NA
"Syringa vulgaris L.","Syringa vulgaris L.",SYVU,USDA_Plants,ANGERS,NA,NA
"Tilia tomentosa","Tilia tomentosa Moench",TITO,USDA_Plants,ANGERS,NA,NA
"Viburnum plicatum 'Lanarth'","Viburnum plicatum Thunb.",VIPL,USDA_Plants,ANGERS,NA,NA
"Viburnum rhytidophyllum","Viburnum rhytidophyllum Hemsl.",VIRH,USDA_Plants,ANGERS,NA,NA
"Viburnum tinus L.","Viburnum tinus L.",VITI2,USDA_Plants,ANGERS,NA,NA
"Vitis vinifera L","Vitis vinifera L.",VIVI5,USDA_Plants,ANGERS,NA,NA
"Weigela florida 'Foliis Purpureis'","Weigela florida (Bunge) A. DC.",WEFL2,USDA_Plants,ANGERS,NA,NA
"Lycopersicum esculentum","Solanum lycopersicum L.",SOLY2,USDA_Plants,LOPEX,NA,NA
"Quercus pubescens","Quercus pubescens Willd.",kew-174591,ThePlantList,LOPEX,NA,NA
"Acer pseudoplatanus L.","Acer pseudoplatanus L.",ACPS,USDA_Plants,LOPEX,NA,NA
"Alnus glutinosa L.","Alnus glutinosa (L.) Gaertn.",ALGL2,USDA_Plants,LOPEX,NA,NA
"Bambusa arundinacea","Bambusa arundinacea (Retz.) Willd.",BAAR8,USDA_Plants,LOPEX,NA,NA
"Beta vulgaris L.","Beta vulgaris L.",BEVU2,USDA_Plants,LOPEX,NA,NA
"Betula pendula","Betula pendula Roth",BEPE3,USDA_Plants,LOPEX,NA,NA
"Brassica oleracea L.","Brassica oleracea L.",BROL,USDA_Plants,LOPEX,NA,NA
"Castanea sativa","Castanea sativa Mill.",CASA27,USDA_Plants,LOPEX,NA,NA
"Chamaerops humilis L.","Chamaerops humilis L.",CHHU7,USDA_Plants,LOPEX,NA,NA
"Corylus avellana L.","Corylus avellana L.",COAV80,USDA_Plants,LOPEX,NA,NA
"Ensete ventricosum","Ensete ventricosum (Welw.) Cheeseman",ENVE2,USDA_Plants,LOPEX,NA,NA
"Fagus sylvatica L.","Fagus sylvatica L.",FASY,USDA_Plants,LOPEX,NA,NA
"Ficus carica L.","Ficus carica L.",FICA,USDA_Plants,LOPEX,NA,NA
"Fraxinus excelsior L.","Fraxinus excelsior L.",FREX80,USDA_Plants,LOPEX,NA,NA
"Glycine max L.","Glycine max (L.) Merr.",GLMA4,USDA_Plants,LOPEX,NA,NA
"Hedera helix L.","Hedera helix L.",HEHE,USDA_Plants,LOPEX,NA,NA
"Helianthus annuus L.","Helianthus annuus L.",HEAN3,USDA_Plants,LOPEX,NA,NA
"Iris germanica L.","Iris germanica L.",IRGE,USDA_Plants,LOPEX,NA,NA
"Juglans regia L.","Juglans regia L.",JURE80,USDA_Plants,LOPEX,NA,NA
"Lactuca sativa L.","Lactuca sativa L.",LASA3,USDA_Plants,LOPEX,NA,NA
"Laurus nobilis L.","Laurus nobilis L.",LANO80,USDA_Plants,LOPEX,NA,NA
"Medicago sativa L.","Medicago sativa L.",MESA,USDA_Plants,LOPEX,NA,NA
"Morus alba L.","Morus alba L.",MOAL,USDA_Plants,LOPEX,NA,NA
"Morus nigra L.","Morus nigra L.",MONI,USDA_Plants,LOPEX,NA,NA
"Oryza sativa L.","Oryza sativa L.",ORSA,USDA_Plants,LOPEX,NA,NA
"Phleum pratense L.","Phleum pratense L.",PHPR3,USDA_Plants,LOPEX,NA,NA
"Phragmites australis","Phragmites australis (Cav.) Trin. ex Steud.",PHAU7,USDA_Plants,LOPEX,NA,NA
"Populus tremula L.","Populus tremula L.",POTR10,USDA_Plants,LOPEX,NA,NA
"Populus x canadensis","Populus ×canadensis Moench (pro sp.) [deltoides × nigra]",POCA19,USDA_Plants,LOPEX,NA,NA
"Prunus armeniaca L.","Prunus armeniaca L.",PRAR3,USDA_Plants,LOPEX,NA,NA
"Prunus laurocerasus L.","Prunus laurocerasus L.",PRLA5,USDA_Plants,LOPEX,NA,NA
"Prunus serotina","Prunus serotina Ehrh.",PRSE2,USDA_Plants,LOPEX,NA,NA
"Quercus rubra L.","Quercus rubra L.",QURU,USDA_Plants,LOPEX,NA,NA
"Robinia pseudoacacia L.","Robinia pseudoacacia L.",ROPS,USDA_Plants,LOPEX,NA,NA
"Salix alba L.","Salix alba L.",SAAL2,USDA_Plants,LOPEX,NA,NA
"Salvia officinalis L.","Salvia officinalis L.",SAOF2,USDA_Plants,LOPEX,NA,NA
"Solanum tuberosum L.","Solanum tuberosum L.",SOTU,USDA_Plants,LOPEX,NA,NA
"Sorghum halepense L.","Sorghum halepense (L.) Pers.",SOHA,USDA_Plants,LOPEX,NA,NA
"Tilia platyphyllos","Tilia platyphyllos Scop.",TIPL,USDA_Plants,LOPEX,NA,NA
"Trifolium pratense L.","Trifolium pratense L.",TRPR2,USDA_Plants,LOPEX,NA,NA
"Ulmus glabra","Ulmus glabra Huds.",ULGL,USDA_Plants,LOPEX,NA,NA
"Urtica dioica L.","Urtica dioica L.",URDI,USDA_Plants,LOPEX,NA,NA
"Vitis vinifera L.","Vitis vinifera L.",VIVI5,USDA_Plants,LOPEX,NA,NA
"Vitis vinifera L. ssp. Sylvestris","Vitis vinifera L.",VIVI5,USDA_Plants,LOPEX,NA,NA
"Zea mays L.","Zea mays L.",ZEMA,USDA_Plants,LOPEX,NA,NA
